row,col,intensity
0,89,-0.059599
0,90,-0.073705
1,89,-0.141425
1,90,-0.174898
1,91,-0.090554
2,89,-0.140500
2,90,-0.173754
2,91,-0.089962
3,89,-0.058437
3,90,-0.072268
4,10,-0.051795
4,11,-0.050657
5,9,-0.074233
5,10,-0.133520
5,11,-0.130587
5,12,-0.069447
6,9,-0.104056
6,10,-0.187160
6,11,-0.183048
6,12,-0.097347
7,9,-0.079312
7,10,-0.142654
7,11,-0.139520
7,12,-0.074198
8,10,-0.059124
8,11,-0.057825
25,65,-0.096557
25,66,-0.110568
25,67,-0.074825
26,64,-0.083506
26,65,-0.161804
26,66,-0.185284
26,67,-0.125388
26,68,-0.050148
27,2,-0.083821
27,3,-0.127132
27,4,-0.083100
27,64,-0.082699
27,65,-0.160241
27,66,-0.183493
27,67,-0.124177
28,2,-0.131785
28,3,-0.199879
28,4,-0.130651
28,65,-0.093784
28,66,-0.107393
28,67,-0.072677
29,2,-0.089294
29,3,-0.135433
29,4,-0.088526
32,40,-0.200000
32,47,-0.200000
36,28,-0.200000
40,38,-0.058064
40,39,-0.082394
40,40,-0.050593
41,38,-0.128981
41,39,-0.183024
41,40,-0.112384
42,38,-0.123980
42,39,-0.175928
42,40,-0.108027
43,38,-0.051569
43,39,-0.073177
48,73,-0.200000
51,84,-0.200000
59,41,-0.050530
59,42,-0.068260
60,41,-0.120617
60,42,-0.162937
60,43,-0.134166
60,44,-0.082289
61,40,-0.054248
61,41,-0.145254
61,42,-0.197250
61,43,-0.182224
61,44,-0.164178
61,45,-0.062864
62,41,-0.088250
62,42,-0.143422
62,43,-0.176800
62,44,-0.173129
62,45,-0.069123
63,42,-0.057575
63,43,-0.085406
63,44,-0.072475
65,0,-0.060332
66,22,-0.050847
66,23,-0.071204
66,24,-0.066047
67,22,-0.117587
67,23,-0.153859
67,24,-0.142044
67,25,-0.082304
68,21,-0.097130
68,22,-0.164512
68,23,-0.196889
68,24,-0.186906
68,25,-0.124721
69,21,-0.117977
69,22,-0.181377
69,23,-0.196228
69,24,-0.184909
69,25,-0.127205
70,21,-0.113497
70,22,-0.182059
70,23,-0.197848
70,24,-0.168845
70,25,-0.103680
71,21,-0.068624
71,22,-0.134274
71,23,-0.152322
71,24,-0.119464
71,25,-0.063625
72,22,-0.056115
72,23,-0.063887
72,55,-0.200000
77,64,-0.200000
78,57,-0.075352
78,58,-0.105423
78,59,-0.085071
79,11,-0.062791
79,12,-0.080660
79,13,-0.064242
79,56,-0.054500
79,57,-0.132201
79,58,-0.184959
79,59,-0.149252
79,60,-0.069466
80,10,-0.060583
80,11,-0.125522
80,12,-0.161245
80,13,-0.128422
80,14,-0.063414
80,56,-0.055150
80,57,-0.133777
80,58,-0.187164
80,59,-0.151032
80,60,-0.070294
81,10,-0.075087
81,11,-0.155574
81,12,-0.199848
81,13,-0.159168
81,14,-0.078596
81,51,-0.200000
81,57,-0.078079
81,58,-0.109238
81,59,-0.088150
82,10,-0.057699
82,11,-0.119548
82,12,-0.153571
82,13,-0.122310
82,14,-0.060396
83,11,-0.056956
83,12,-0.073166
83,13,-0.058272
96,43,-0.200000
