row,col,intensity
0,88,-0.052095
0,89,-0.132573
0,90,-0.141245
0,91,-0.063002
1,88,-0.066775
1,89,-0.169931
1,90,-0.181047
1,91,-0.080756
2,89,-0.091191
2,90,-0.097157
10,30,-0.200000
10,46,-0.200000
19,28,-0.200000
28,12,-0.053729
28,13,-0.053595
29,11,-0.063517
29,12,-0.147016
29,13,-0.146651
29,14,-0.063045
30,11,-0.074902
30,12,-0.173368
30,13,-0.172938
30,14,-0.074346
31,12,-0.088108
31,13,-0.087890
49,31,-0.108909
49,32,-0.110450
49,63,-0.200000
50,30,-0.067988
50,31,-0.176544
50,32,-0.179043
50,33,-0.070915
51,31,-0.111770
51,32,-0.113352
58,17,-0.078868
58,18,-0.084856
58,19,-0.060476
59,16,-0.090614
59,17,-0.147184
59,18,-0.158358
59,19,-0.112860
59,20,-0.053279
60,16,-0.112014
60,17,-0.181943
60,18,-0.195757
60,19,-0.139514
60,20,-0.065862
60,53,-0.054513
60,54,-0.110187
60,55,-0.112363
60,56,-0.057808
61,16,-0.091721
61,17,-0.148981
61,18,-0.160293
61,19,-0.114239
61,20,-0.053930
61,53,-0.088584
61,54,-0.179056
61,55,-0.182593
61,56,-0.093939
62,17,-0.080806
62,18,-0.086942
62,19,-0.061962
62,53,-0.072624
62,54,-0.146796
62,55,-0.149696
62,56,-0.077014
63,54,-0.060716
63,55,-0.061915
71,67,-0.200000
76,0,-0.073558
77,0,-0.110087
77,82,-0.200000
78,0,-0.102148
79,0,-0.058765
82,60,-0.200000
82,86,-0.200000
85,40,-0.200000
92,21,-0.200000
