row,col,intensity
11,28,-0.200000
14,7,-0.067911
14,8,-0.103673
14,9,-0.068208
14,43,-0.200000
15,7,-0.127622
15,8,-0.194828
15,9,-0.128180
16,7,-0.103361
16,8,-0.157790
16,9,-0.103813
17,8,-0.055075
23,48,-0.200000
25,41,-0.054705
25,42,-0.123630
25,43,-0.107957
26,41,-0.083141
26,42,-0.187893
26,43,-0.164073
26,44,-0.055360
27,42,-0.110338
27,43,-0.096350
28,89,-0.200000
32,99,-0.085718
33,98,-0.054236
33,99,-0.138740
34,99,-0.123023
35,99,-0.059761
37,69,-0.200000
38,39,-0.200000
54,67,-0.200000
56,14,-0.070916
56,15,-0.109647
56,16,-0.112297
56,17,-0.076183
57,14,-0.112237
57,15,-0.173537
57,16,-0.177731
57,17,-0.120574
57,18,-0.054183
58,13,-0.050410
58,14,-0.117666
58,15,-0.181929
58,16,-0.186327
58,17,-0.126405
58,18,-0.056803
59,14,-0.081711
59,15,-0.126338
59,16,-0.129391
59,17,-0.087780
60,15,-0.058114
60,16,-0.059519
62,36,-0.076311
62,37,-0.088437
62,38,-0.051707
62,42,-0.093521
62,43,-0.105820
63,35,-0.066665
63,36,-0.153139
63,37,-0.177475
63,38,-0.103765
63,41,-0.056945
63,42,-0.164982
63,43,-0.186679
63,44,-0.082496
64,35,-0.067494
64,36,-0.155043
64,37,-0.179681
64,38,-0.105055
64,42,-0.113669
64,43,-0.128618
64,44,-0.056838
65,36,-0.079192
65,37,-0.091777
65,38,-0.053660
75,92,-0.200000
76,9,-0.073534
76,10,-0.088738
76,11,-0.066393
76,68,-0.053841
76,69,-0.052488
77,8,-0.071716
77,9,-0.139587
77,10,-0.168448
77,11,-0.126031
77,12,-0.058463
77,65,-0.200000
77,67,-0.080664
77,68,-0.127981
77,69,-0.124766
77,70,-0.074737
78,8,-0.084404
78,9,-0.164283
78,10,-0.198250
78,11,-0.148329
78,12,-0.068807
78,67,-0.117814
78,68,-0.186923
78,69,-0.182228
78,70,-0.109158
79,8,-0.061589
79,9,-0.119876
79,10,-0.144661
79,11,-0.108234
79,12,-0.050208
79,67,-0.105731
79,68,-0.167753
79,69,-0.163539
79,70,-0.097963
80,9,-0.054233
80,10,-0.065446
80,67,-0.058304
80,68,-0.092504
80,69,-0.090181
80,70,-0.054020
82,47,-0.200000
89,69,-0.200000
92,57,-0.200000
