row,col,intensity
5,10,-0.200000
15,46,-0.200000
17,14,-0.091924
17,15,-0.109453
17,16,-0.056166
18,13,-0.058011
18,14,-0.160276
18,15,-0.190840
18,16,-0.097930
19,14,-0.120436
19,15,-0.143403
19,16,-0.073587
29,72,-0.200000
29,73,-0.200000
37,32,-0.200000
58,9,-0.055508
58,10,-0.075095
58,11,-0.067295
59,8,-0.054033
59,9,-0.110356
59,10,-0.149296
59,11,-0.133789
59,12,-0.079417
60,8,-0.071157
60,9,-0.145330
60,10,-0.196611
60,11,-0.176189
60,12,-0.104585
61,8,-0.062072
61,9,-0.126774
61,10,-0.171508
61,11,-0.153694
61,12,-0.091232
62,9,-0.073253
62,10,-0.099101
62,11,-0.088808
62,12,-0.052716
65,31,-0.061327
66,30,-0.118882
66,31,-0.169446
66,32,-0.094325
66,68,-0.200000
67,30,-0.128284
67,31,-0.182848
67,32,-0.101785
68,30,-0.054064
68,31,-0.077060
73,56,-0.051791
73,57,-0.094025
73,58,-0.086119
74,56,-0.098403
74,57,-0.178646
74,58,-0.163624
74,59,-0.075607
75,56,-0.094324
75,57,-0.171242
75,58,-0.156842
75,59,-0.072474
76,57,-0.082811
76,58,-0.075848
76,88,-0.200000
77,4,-0.061595
77,5,-0.078796
77,6,-0.062497
78,3,-0.060393
78,4,-0.124613
78,5,-0.159414
78,6,-0.126439
78,7,-0.062177
79,3,-0.075753
79,4,-0.156305
79,5,-0.199957
79,6,-0.158596
79,7,-0.077990
80,3,-0.058912
80,4,-0.121555
80,5,-0.155503
80,6,-0.123337
80,7,-0.060651
81,4,-0.058609
81,5,-0.074977
81,6,-0.059468
87,34,-0.200000
90,59,-0.200000
91,62,-0.200000
92,27,-0.200000
92,38,-0.200000
