row,col,intensity
4,88,-0.055854
5,86,-0.051994
5,87,-0.104750
5,88,-0.131954
5,89,-0.103935
5,90,-0.051188
6,86,-0.076806
6,87,-0.154737
6,88,-0.194922
6,89,-0.153532
6,90,-0.075614
6,93,-0.066721
6,94,-0.136188
6,95,-0.116380
7,86,-0.070941
7,87,-0.142922
7,88,-0.180039
7,89,-0.141809
7,90,-0.069841
7,93,-0.093173
7,94,-0.190181
7,95,-0.162521
7,96,-0.058145
8,87,-0.082542
8,88,-0.103978
8,89,-0.081899
8,93,-0.054473
8,94,-0.111188
8,95,-0.095017
18,46,-0.200000
22,41,-0.200000
29,8,-0.060181
30,7,-0.095548
30,8,-0.163017
30,9,-0.119864
31,7,-0.111542
31,8,-0.190304
31,9,-0.139928
32,7,-0.056117
32,8,-0.095744
32,9,-0.070399
48,28,-0.072910
48,29,-0.074267
48,63,-0.050841
48,64,-0.066275
48,74,-0.200000
48,85,-0.200000
49,27,-0.068923
49,28,-0.163341
49,29,-0.166381
49,30,-0.072843
49,63,-0.120434
49,64,-0.156994
49,65,-0.109320
50,27,-0.066367
50,28,-0.157284
50,29,-0.160211
50,30,-0.070142
50,62,-0.062449
50,63,-0.152395
50,64,-0.198657
50,65,-0.138332
50,66,-0.051455
51,28,-0.065095
51,29,-0.066307
51,63,-0.103010
51,64,-0.134280
51,65,-0.093504
55,93,-0.200000
64,27,-0.121656
64,28,-0.116805
65,26,-0.073541
65,27,-0.180792
65,28,-0.173584
65,29,-0.065091
65,67,-0.200000
66,27,-0.104932
66,28,-0.100748
70,9,-0.062546
70,10,-0.089327
70,11,-0.084504
70,12,-0.052953
71,8,-0.052590
71,9,-0.113387
71,10,-0.161935
71,11,-0.153193
71,12,-0.095996
72,8,-0.063151
72,9,-0.136158
72,10,-0.194456
72,11,-0.183957
72,12,-0.115274
73,8,-0.050232
73,9,-0.108303
73,10,-0.154674
73,11,-0.146324
73,12,-0.091691
74,9,-0.057063
74,10,-0.081496
74,11,-0.077096
75,53,-0.087780
75,54,-0.136471
75,55,-0.107041
76,53,-0.127624
76,54,-0.198417
76,55,-0.155629
76,56,-0.061583
77,53,-0.093613
77,54,-0.145539
77,55,-0.114154
78,17,-0.200000
78,54,-0.053858
80,9,-0.055252
80,10,-0.104977
80,11,-0.123662
80,12,-0.090317
81,9,-0.085342
81,10,-0.162148
81,11,-0.191009
81,12,-0.139505
81,13,-0.063170
82,9,-0.081728
82,10,-0.155282
82,11,-0.182921
82,12,-0.133597
82,13,-0.060495
83,10,-0.092198
83,11,-0.108609
83,12,-0.079323
87,39,-0.200000
89,29,-0.200000
91,49,-0.200000
94,34,-0.069675
94,35,-0.056047
95,33,-0.109564
95,34,-0.157029
95,35,-0.126314
95,36,-0.057027
96,32,-0.054272
96,33,-0.138588
96,34,-0.198628
96,35,-0.159776
96,36,-0.072134
97,33,-0.098389
97,34,-0.141013
97,35,-0.113431
97,36,-0.051211
98,34,-0.056187
