row,col,intensity
0,1,-0.200000
16,12,-0.063503
16,13,-0.137144
16,14,-0.127645
16,15,-0.051201
17,12,-0.085341
17,13,-0.184307
17,14,-0.171543
17,15,-0.068809
17,44,-0.200000
18,13,-0.106747
18,14,-0.099354
28,46,-0.200000
40,96,-0.200000
45,60,-0.200000
56,41,-0.200000
61,57,-0.069177
61,58,-0.065574
62,56,-0.084278
62,57,-0.158349
62,58,-0.150101
62,59,-0.071782
63,56,-0.097327
63,57,-0.182867
63,58,-0.173342
63,59,-0.082897
64,17,-0.053725
64,18,-0.054729
64,56,-0.056704
64,57,-0.106542
64,58,-0.100992
65,16,-0.078540
65,17,-0.120786
65,18,-0.123043
65,19,-0.083027
66,15,-0.050378
66,16,-0.116963
66,17,-0.179876
66,18,-0.183237
66,19,-0.123644
66,20,-0.055265
66,34,-0.110820
66,35,-0.106000
67,16,-0.115378
67,17,-0.177438
67,18,-0.180755
67,19,-0.121969
67,20,-0.054517
67,33,-0.074140
67,34,-0.181576
67,35,-0.173679
67,36,-0.064881
68,16,-0.075391
68,17,-0.115942
68,18,-0.118109
68,19,-0.079697
68,34,-0.116193
68,35,-0.111140
68,95,-0.200000
69,17,-0.050183
69,18,-0.051121
77,0,-0.063426
77,54,-0.200000
78,0,-0.141453
78,1,-0.098917
79,0,-0.195591
79,1,-0.136776
79,2,-0.059301
79,9,-0.200000
80,0,-0.167679
80,1,-0.117257
80,2,-0.050838
81,0,-0.089125
81,1,-0.062324
91,35,-0.072990
91,36,-0.134781
91,37,-0.123870
91,38,-0.056661
91,50,-0.200000
92,35,-0.103014
92,36,-0.190221
92,37,-0.174823
92,38,-0.079967
93,35,-0.072361
93,36,-0.133618
93,37,-0.122802
93,38,-0.056172
99,56,-0.200000
