row,col,intensity
12,23,-0.051152
12,24,-0.064353
13,22,-0.055034
13,23,-0.117153
13,24,-0.147386
13,25,-0.109580
14,22,-0.074489
14,23,-0.158569
14,24,-0.199488
14,25,-0.148318
14,26,-0.065169
15,22,-0.059584
15,23,-0.126839
15,24,-0.159571
15,25,-0.118640
15,26,-0.052129
15,44,-0.200000
16,23,-0.059960
16,24,-0.075434
16,25,-0.056084
29,5,-0.070704
29,6,-0.109511
29,7,-0.073100
30,5,-0.127032
30,6,-0.196756
30,7,-0.131337
31,5,-0.098362
31,6,-0.152350
31,7,-0.101696
31,27,-0.200000
31,51,-0.200000
32,6,-0.050840
34,34,-0.200000
40,62,-0.103987
40,63,-0.107040
41,61,-0.074071
41,62,-0.176199
41,63,-0.181372
41,64,-0.080789
42,61,-0.054311
42,62,-0.129193
42,63,-0.132986
42,64,-0.059236
43,0,-0.058031
44,0,-0.092724
45,0,-0.080561
45,29,-0.052468
45,30,-0.062101
46,28,-0.062694
46,29,-0.117210
46,30,-0.138729
46,31,-0.103954
47,28,-0.088666
47,29,-0.165766
47,30,-0.196201
47,31,-0.147018
47,32,-0.069744
48,28,-0.079388
48,29,-0.148420
48,30,-0.175670
48,31,-0.131634
48,32,-0.062446
49,29,-0.084131
49,30,-0.099577
49,31,-0.074616
54,43,-0.061635
54,44,-0.072599
55,12,-0.054046
55,13,-0.062304
55,43,-0.147984
55,44,-0.174310
55,45,-0.080188
56,11,-0.067216
56,12,-0.116980
56,13,-0.134854
56,14,-0.102976
56,15,-0.052087
56,43,-0.138766
56,44,-0.163453
56,45,-0.075193
57,11,-0.096370
57,12,-0.167717
57,13,-0.193344
57,14,-0.147639
57,15,-0.074678
57,43,-0.050820
57,44,-0.059861
58,11,-0.091522
58,12,-0.159280
58,13,-0.183618
58,14,-0.140213
58,15,-0.070921
59,11,-0.057575
59,12,-0.100199
59,13,-0.115510
59,14,-0.088204
75,52,-0.081562
75,53,-0.074994
76,51,-0.093356
76,52,-0.170144
76,53,-0.156442
76,54,-0.072570
76,93,-0.200000
77,51,-0.098250
77,52,-0.179063
77,53,-0.164644
77,54,-0.076375
78,51,-0.052166
78,52,-0.095074
78,53,-0.087418
78,65,-0.200000
79,15,-0.075127
79,16,-0.100948
79,17,-0.084100
80,14,-0.061143
80,15,-0.132514
80,16,-0.178060
80,17,-0.148342
80,18,-0.076622
81,14,-0.066866
81,15,-0.144918
81,16,-0.194727
81,17,-0.162227
81,18,-0.083794
82,15,-0.098259
82,16,-0.132031
82,17,-0.109995
82,18,-0.056815
83,16,-0.055503
84,52,-0.200000
88,24,-0.054193
89,23,-0.093416
89,24,-0.135917
89,25,-0.114058
89,26,-0.055206
90,22,-0.053569
90,23,-0.135132
90,24,-0.196611
90,25,-0.164992
90,26,-0.079859
91,23,-0.112746
91,24,-0.164040
91,25,-0.137659
91,26,-0.066629
92,22,-0.200000
92,23,-0.054256
92,24,-0.078940
92,25,-0.066245
98,57,-0.200000
