row,col,intensity
0,91,-0.058419
0,92,-0.163090
0,93,-0.173655
0,94,-0.070522
1,92,-0.137432
1,93,-0.146335
1,94,-0.059428
2,22,-0.200000
25,1,-0.091649
25,2,-0.117062
25,3,-0.064439
26,0,-0.051611
26,1,-0.152962
26,2,-0.195377
26,3,-0.107550
27,1,-0.110024
27,2,-0.140533
27,3,-0.077359
28,27,-0.200000
31,50,-0.200000
32,48,-0.057182
32,49,-0.118080
32,50,-0.098073
33,48,-0.093012
33,49,-0.192067
33,50,-0.159524
33,51,-0.053291
34,48,-0.060852
34,49,-0.125657
34,50,-0.104366
35,41,-0.200000
36,30,-0.200000
50,28,-0.062335
51,27,-0.123321
51,28,-0.169941
51,29,-0.091462
52,27,-0.131306
52,28,-0.180946
52,29,-0.097385
53,27,-0.054602
53,28,-0.075245
59,18,-0.083943
59,19,-0.110463
59,20,-0.096286
59,21,-0.055595
59,43,-0.052329
59,44,-0.109489
59,45,-0.115575
59,46,-0.061549
60,17,-0.068972
60,18,-0.137020
60,19,-0.180308
60,20,-0.157168
60,21,-0.090747
60,43,-0.084137
60,44,-0.176041
60,45,-0.185827
60,46,-0.098962
61,17,-0.074574
61,18,-0.148150
61,19,-0.194954
61,20,-0.169934
61,21,-0.098118
61,43,-0.068249
61,44,-0.142799
61,45,-0.150736
61,46,-0.080274
62,17,-0.053410
62,18,-0.106105
62,19,-0.139627
62,20,-0.121707
62,21,-0.070272
62,44,-0.058439
62,45,-0.061687
63,18,-0.050338
63,19,-0.066240
63,20,-0.057739
68,85,-0.200000
72,27,-0.200000
74,3,-0.052090
74,4,-0.083772
74,5,-0.083529
74,6,-0.051638
75,3,-0.098987
75,4,-0.159194
75,5,-0.158733
75,6,-0.098129
76,3,-0.116627
76,4,-0.187564
76,5,-0.187020
76,6,-0.115616
77,3,-0.085195
77,4,-0.137013
77,5,-0.136616
77,6,-0.084456
77,62,-0.200000
78,4,-0.062053
78,5,-0.061873
91,39,-0.200000
94,50,-0.200000
98,42,-0.200000
99,44,-0.052493
99,45,-0.052079
