row,col,intensity
12,41,-0.200000
23,25,-0.200000
25,1,-0.098383
25,2,-0.122975
25,3,-0.066246
26,0,-0.053846
26,1,-0.156173
26,2,-0.195210
26,3,-0.105159
26,77,-0.085100
26,78,-0.127612
26,79,-0.097433
27,1,-0.106841
27,2,-0.133547
27,3,-0.071941
27,77,-0.131923
27,78,-0.197826
27,79,-0.151042
27,80,-0.058717
27,96,-0.055770
28,77,-0.104126
28,78,-0.156143
28,79,-0.119217
28,94,-0.057281
28,95,-0.119429
28,96,-0.139754
28,97,-0.091787
29,78,-0.062750
29,94,-0.080563
29,95,-0.167970
29,96,-0.196557
29,97,-0.129094
30,32,-0.200000
30,52,-0.200000
30,94,-0.063594
30,95,-0.132591
30,96,-0.155157
30,97,-0.101903
31,28,-0.200000
31,95,-0.058743
31,96,-0.068741
32,74,-0.200000
50,15,-0.200000
51,26,-0.057683
51,27,-0.067532
52,26,-0.145346
52,27,-0.170163
52,28,-0.077805
53,26,-0.143033
53,27,-0.167455
53,28,-0.076567
54,26,-0.054973
54,27,-0.064359
57,20,-0.057160
57,21,-0.083837
57,22,-0.065685
58,20,-0.118418
58,21,-0.173683
58,22,-0.136078
58,23,-0.056951
59,10,-0.071245
59,11,-0.087375
59,12,-0.070980
59,20,-0.131046
59,21,-0.192205
59,22,-0.150589
59,23,-0.063024
60,9,-0.071531
60,10,-0.132438
60,11,-0.162423
60,12,-0.131947
60,13,-0.071002
60,20,-0.077467
60,21,-0.113621
60,22,-0.089020
61,9,-0.088080
61,10,-0.163077
61,11,-0.199998
61,12,-0.162472
61,13,-0.087428
62,9,-0.071841
62,10,-0.133012
62,11,-0.163126
62,12,-0.132518
62,13,-0.071309
63,10,-0.071863
63,11,-0.088133
63,12,-0.071597
71,90,-0.200000
76,47,-0.098349
76,48,-0.128017
76,49,-0.084068
76,68,-0.200000
77,46,-0.058909
77,47,-0.151992
77,48,-0.197842
77,49,-0.129922
78,47,-0.118505
78,48,-0.154253
78,49,-0.101298
79,2,-0.051150
79,3,-0.077529
79,4,-0.072859
79,48,-0.060676
80,2,-0.102618
80,3,-0.155542
80,4,-0.146172
80,5,-0.085167
81,1,-0.052211
81,2,-0.127643
81,3,-0.193473
81,4,-0.181818
81,5,-0.105936
82,2,-0.098438
82,3,-0.149206
82,4,-0.140217
82,5,-0.081697
83,3,-0.071341
83,4,-0.067044
86,60,-0.200000
93,69,-0.200000
94,68,-0.200000
