row,col,intensity
0,25,-0.067067
0,26,-0.074669
1,24,-0.053451
1,25,-0.156028
1,26,-0.173714
1,27,-0.073765
2,25,-0.138446
2,26,-0.154139
2,27,-0.065453
3,26,-0.052164
7,96,-0.081918
7,97,-0.137938
7,98,-0.097241
8,96,-0.117934
8,97,-0.198583
8,98,-0.139994
9,96,-0.071082
9,97,-0.119691
9,98,-0.084378
11,82,-0.055715
11,83,-0.134859
11,84,-0.141552
11,85,-0.064428
12,44,-0.110536
12,45,-0.122066
12,46,-0.064716
12,82,-0.071286
12,83,-0.172550
12,84,-0.181114
12,85,-0.082435
13,43,-0.074702
13,44,-0.171831
13,45,-0.189756
13,46,-0.100604
13,83,-0.095736
13,84,-0.100487
14,43,-0.055752
14,44,-0.128241
14,45,-0.141618
14,46,-0.075082
15,45,-0.050742
16,38,-0.200000
29,8,-0.052940
29,9,-0.053050
30,7,-0.062761
30,8,-0.145929
30,9,-0.146230
30,10,-0.063150
31,7,-0.074557
31,8,-0.173356
31,9,-0.173714
31,10,-0.075020
32,8,-0.088753
32,9,-0.088936
32,44,-0.200000
34,26,-0.200000
50,74,-0.200000
51,81,-0.200000
58,45,-0.073485
58,46,-0.101270
58,47,-0.086530
59,44,-0.058080
59,45,-0.129092
59,46,-0.177902
59,47,-0.152008
59,48,-0.080530
60,11,-0.063697
60,12,-0.105553
60,13,-0.115863
60,14,-0.084243
60,44,-0.063260
60,45,-0.140606
60,46,-0.193769
60,47,-0.165565
60,48,-0.087712
61,11,-0.100409
61,12,-0.166389
61,13,-0.182640
61,14,-0.132797
61,15,-0.063958
61,45,-0.094954
61,46,-0.130855
61,47,-0.111809
61,48,-0.059233
62,11,-0.104844
62,12,-0.173738
62,13,-0.190708
62,14,-0.138662
62,15,-0.066783
62,36,-0.069670
62,37,-0.072075
62,46,-0.054790
63,11,-0.072516
63,12,-0.120167
63,13,-0.131904
63,14,-0.095907
63,26,-0.066328
63,27,-0.083229
63,35,-0.075523
63,36,-0.154865
63,37,-0.160211
63,38,-0.083617
64,12,-0.055055
64,13,-0.060432
64,26,-0.146241
64,27,-0.183505
64,28,-0.089930
64,35,-0.084694
64,36,-0.173672
64,37,-0.179667
64,38,-0.093772
65,26,-0.125928
65,27,-0.158016
65,28,-0.077439
65,36,-0.098258
65,37,-0.101650
65,38,-0.053053
66,27,-0.053141
72,50,-0.200000
73,7,-0.062068
73,8,-0.103497
73,9,-0.107000
73,10,-0.068585
74,7,-0.102992
74,8,-0.171738
74,9,-0.177550
74,10,-0.113807
75,7,-0.105958
75,8,-0.176683
75,9,-0.182663
75,10,-0.117084
76,7,-0.067585
76,8,-0.112698
76,9,-0.116512
76,10,-0.074682
78,52,-0.056113
78,53,-0.109826
78,54,-0.116343
78,55,-0.066706
79,52,-0.089745
79,53,-0.175652
79,54,-0.186074
79,55,-0.106688
80,52,-0.077688
80,53,-0.152053
80,54,-0.161075
80,55,-0.092354
81,53,-0.071241
81,54,-0.075468
84,63,-0.200000
89,62,-0.200000
92,68,-0.200000
