row,col,intensity
3,79,-0.200000
5,59,-0.200000
16,7,-0.073432
16,8,-0.085836
16,9,-0.060777
17,6,-0.074024
17,7,-0.142844
17,8,-0.166972
17,9,-0.118227
17,10,-0.050709
18,6,-0.087225
18,7,-0.168318
18,8,-0.196748
18,9,-0.139310
18,10,-0.059751
19,1,-0.110584
19,2,-0.135653
19,3,-0.071715
19,6,-0.062259
19,7,-0.120140
19,8,-0.140433
19,9,-0.099436
20,0,-0.055576
20,1,-0.158190
20,2,-0.194051
20,3,-0.102588
20,7,-0.051945
20,8,-0.060718
20,46,-0.200000
21,1,-0.097523
21,2,-0.119631
21,3,-0.063245
21,47,-0.200000
22,11,-0.200000
23,64,-0.060450
23,65,-0.104512
23,66,-0.111026
23,67,-0.072471
24,64,-0.098790
24,65,-0.170799
24,66,-0.181443
24,67,-0.118436
25,64,-0.099202
25,65,-0.171510
25,66,-0.182198
25,67,-0.118929
26,64,-0.061208
26,65,-0.105823
26,66,-0.112418
26,67,-0.073380
41,49,-0.200000
50,39,-0.108872
50,40,-0.106907
51,38,-0.071329
51,39,-0.179339
51,40,-0.176101
51,41,-0.067535
52,39,-0.115375
52,40,-0.113292
61,95,-0.200000
65,34,-0.059637
65,35,-0.056851
66,10,-0.050391
66,11,-0.091645
66,12,-0.110403
66,13,-0.088100
66,33,-0.078454
66,34,-0.148244
66,35,-0.141319
66,36,-0.067966
66,60,-0.200000
67,10,-0.082534
67,11,-0.150102
67,12,-0.180827
67,13,-0.144296
67,14,-0.076272
67,33,-0.098388
67,34,-0.185909
67,35,-0.177226
67,36,-0.085235
68,10,-0.089543
68,11,-0.162850
68,12,-0.196183
68,13,-0.156551
68,14,-0.082750
68,33,-0.062249
68,34,-0.117623
68,35,-0.112129
68,36,-0.053927
69,10,-0.064350
69,11,-0.117032
69,12,-0.140987
69,13,-0.112505
69,14,-0.059468
70,11,-0.055711
70,12,-0.067114
70,13,-0.053556
75,3,-0.054842
75,4,-0.090306
75,5,-0.092195
75,6,-0.058357
76,3,-0.099260
76,4,-0.163447
76,5,-0.166867
76,6,-0.105622
77,3,-0.111385
77,4,-0.183413
77,5,-0.187250
77,6,-0.118524
78,3,-0.077495
78,4,-0.127607
78,5,-0.130277
78,6,-0.082461
79,4,-0.055044
79,5,-0.056196
92,91,-0.076752
92,92,-0.106097
92,93,-0.080347
93,90,-0.053911
93,91,-0.136032
93,92,-0.188043
93,93,-0.142404
93,94,-0.059080
94,66,-0.200000
94,90,-0.052346
94,91,-0.132083
94,92,-0.182583
94,93,-0.138270
94,94,-0.057365
95,91,-0.070259
95,92,-0.097122
95,93,-0.073550
97,41,-0.200000
