row,col,intensity
4,69,-0.200000
6,96,-0.060332
7,95,-0.094510
7,96,-0.164704
7,97,-0.120170
8,95,-0.108018
8,96,-0.188245
8,97,-0.137346
9,95,-0.051687
9,96,-0.090076
9,97,-0.065720
14,28,-0.200000
28,12,-0.055992
28,13,-0.108673
28,14,-0.090900
29,12,-0.098327
29,13,-0.190840
29,14,-0.159628
29,15,-0.057543
30,12,-0.074416
30,13,-0.144431
30,14,-0.120809
35,27,-0.200000
42,79,-0.057187
43,13,-0.072007
43,14,-0.105279
43,15,-0.102809
43,16,-0.067058
43,78,-0.113220
43,79,-0.160175
43,80,-0.097397
44,12,-0.053993
44,13,-0.118190
44,14,-0.172802
44,15,-0.168748
44,16,-0.110067
44,78,-0.136300
44,79,-0.192827
44,80,-0.117251
45,12,-0.059193
45,13,-0.129573
45,14,-0.189443
45,15,-0.185000
45,16,-0.120667
45,17,-0.052569
45,78,-0.070525
45,79,-0.099774
45,80,-0.060669
46,13,-0.094879
46,14,-0.138719
46,15,-0.135466
46,16,-0.088358
47,14,-0.067845
47,15,-0.066254
47,44,-0.200000
47,71,-0.200000
57,16,-0.052007
57,17,-0.076352
57,18,-0.074250
58,16,-0.101304
58,17,-0.148724
58,18,-0.144629
58,19,-0.093164
59,15,-0.058975
59,16,-0.130709
59,17,-0.191894
59,18,-0.186610
59,19,-0.120206
59,20,-0.051291
60,15,-0.050404
60,16,-0.111713
60,17,-0.164006
60,18,-0.159490
60,19,-0.102737
61,16,-0.063244
61,17,-0.092849
61,18,-0.090292
61,19,-0.058162
65,37,-0.057480
65,38,-0.067989
66,37,-0.144504
66,38,-0.170923
66,39,-0.078959
67,37,-0.141880
67,38,-0.167819
67,39,-0.077525
68,37,-0.054405
68,38,-0.064352
70,34,-0.099176
70,35,-0.121908
70,36,-0.075600
70,83,-0.200000
71,33,-0.065108
71,34,-0.158632
71,35,-0.194992
71,36,-0.120922
71,88,-0.056735
71,89,-0.085491
71,90,-0.080549
72,33,-0.052539
72,34,-0.128009
72,35,-0.157350
72,36,-0.097579
72,88,-0.107734
72,89,-0.162339
72,90,-0.152953
72,91,-0.090108
73,34,-0.052114
73,35,-0.064059
73,87,-0.053079
73,88,-0.127915
73,89,-0.192748
73,90,-0.181605
73,91,-0.106988
74,88,-0.094964
74,89,-0.143095
74,90,-0.134823
74,91,-0.079427
75,89,-0.066425
75,90,-0.062585
80,0,-0.065157
81,0,-0.111025
82,0,-0.117293
82,45,-0.200000
82,62,-0.200000
83,0,-0.076827
88,68,-0.200000
