row,col,intensity
0,88,-0.067395
0,89,-0.151855
0,90,-0.143250
0,91,-0.056574
1,89,-0.054965
1,90,-0.051850
11,28,-0.200000
12,31,-0.200000
15,12,-0.082203
15,13,-0.092094
16,11,-0.062396
16,12,-0.162202
16,13,-0.181718
16,14,-0.087738
17,11,-0.053061
17,12,-0.137934
17,13,-0.154530
17,14,-0.074611
18,12,-0.050551
18,13,-0.056634
48,52,-0.200000
49,32,-0.112878
49,33,-0.143426
49,34,-0.071174
50,32,-0.150288
50,33,-0.190960
50,34,-0.094763
51,32,-0.078149
51,33,-0.099298
55,17,-0.069213
55,18,-0.071085
55,81,-0.200000
56,16,-0.089856
56,17,-0.139322
56,18,-0.143091
56,19,-0.097346
57,15,-0.051186
57,16,-0.119813
57,17,-0.185769
57,18,-0.190794
57,19,-0.129800
57,20,-0.058493
57,73,-0.200000
58,16,-0.105822
58,17,-0.164076
58,18,-0.168514
58,19,-0.114642
58,20,-0.051662
59,16,-0.061911
59,17,-0.095992
59,18,-0.098589
59,19,-0.067071
66,56,-0.200000
67,34,-0.062168
68,33,-0.098871
68,34,-0.155603
68,35,-0.123546
69,33,-0.124849
69,34,-0.196487
69,35,-0.156008
69,36,-0.062492
70,33,-0.079537
70,34,-0.125175
70,35,-0.099387
76,46,-0.200000
76,64,-0.200000
77,46,-0.118863
77,47,-0.106365
78,45,-0.076631
78,46,-0.185301
78,47,-0.165818
78,48,-0.054911
79,46,-0.106902
79,47,-0.095662
80,0,-0.050766
80,63,-0.200000
81,0,-0.093089
82,0,-0.105833
83,0,-0.074599
85,93,-0.200000
92,40,-0.200000
