row,col,intensity
20,0,-0.050801
20,1,-0.102090
20,2,-0.088418
21,0,-0.093161
21,1,-0.187216
21,2,-0.162143
21,3,-0.060520
22,0,-0.073627
22,1,-0.147961
22,2,-0.128145
23,1,-0.050396
29,33,-0.200000
30,63,-0.200000
31,44,-0.200000
32,30,-0.099383
32,31,-0.117027
32,32,-0.080678
33,29,-0.080063
33,30,-0.161031
33,31,-0.189619
33,32,-0.130723
33,33,-0.052761
34,29,-0.075949
34,30,-0.152758
34,31,-0.179877
34,32,-0.124007
34,33,-0.050051
35,30,-0.084838
35,31,-0.099900
35,32,-0.068871
38,18,-0.200000
50,26,-0.092443
50,27,-0.130916
50,28,-0.073126
51,26,-0.139997
51,27,-0.198261
51,28,-0.110743
51,94,-0.200000
52,26,-0.083623
52,27,-0.118425
52,28,-0.066149
55,81,-0.058426
55,82,-0.110752
55,83,-0.109343
55,84,-0.056225
56,81,-0.095765
56,82,-0.181531
56,83,-0.179222
56,84,-0.092158
57,21,-0.066706
57,22,-0.069461
57,81,-0.081754
57,82,-0.154971
57,83,-0.153000
57,84,-0.078674
58,20,-0.086537
58,21,-0.136039
58,22,-0.141657
58,23,-0.097709
58,82,-0.068905
58,83,-0.068028
59,20,-0.116902
59,21,-0.183772
59,22,-0.191362
59,23,-0.131993
59,24,-0.060307
60,20,-0.104606
60,21,-0.164442
60,22,-0.171234
60,23,-0.118110
60,24,-0.053963
61,20,-0.062003
61,21,-0.097469
61,22,-0.101495
61,23,-0.070007
61,37,-0.059997
61,38,-0.070252
62,36,-0.059887
62,37,-0.138994
62,38,-0.162751
62,39,-0.096142
63,36,-0.069994
63,37,-0.162452
63,38,-0.190219
63,39,-0.112369
64,37,-0.095790
64,38,-0.112163
64,39,-0.066259
66,31,-0.090309
66,32,-0.143507
66,33,-0.089062
67,31,-0.124356
67,32,-0.197610
67,33,-0.122639
68,31,-0.066878
68,32,-0.106274
68,33,-0.065955
72,5,-0.053164
72,6,-0.074237
73,5,-0.129801
73,6,-0.181251
73,7,-0.096362
74,5,-0.120658
74,6,-0.168484
74,7,-0.089575
75,6,-0.059630
76,55,-0.200000
79,1,-0.052870
80,0,-0.108175
80,1,-0.128330
80,2,-0.094389
81,0,-0.162793
81,1,-0.193124
81,2,-0.142046
81,3,-0.064776
82,0,-0.151892
82,1,-0.180192
82,2,-0.132535
82,3,-0.060438
83,0,-0.087867
83,1,-0.104239
83,2,-0.076669
85,68,-0.200000
87,61,-0.200000
93,21,-0.200000
98,72,-0.090095
98,73,-0.083926
99,71,-0.093272
99,72,-0.176066
99,73,-0.164010
99,74,-0.075395
