row,col,intensity
2,80,-0.200000
6,59,-0.200000
17,6,-0.058578
17,7,-0.054911
18,2,-0.051616
18,5,-0.087965
18,6,-0.136126
18,7,-0.127603
18,8,-0.072456
19,1,-0.117711
19,2,-0.152010
19,3,-0.084600
19,4,-0.063843
19,5,-0.123824
19,6,-0.191618
19,7,-0.179621
19,8,-0.101993
20,1,-0.149400
20,2,-0.192932
20,3,-0.107375
20,4,-0.061761
20,5,-0.105583
20,6,-0.163389
20,7,-0.153160
20,8,-0.086968
20,46,-0.200000
21,1,-0.081720
21,2,-0.105532
21,3,-0.058733
21,5,-0.054535
21,6,-0.084392
21,7,-0.079109
21,11,-0.200000
23,47,-0.200000
24,64,-0.063997
24,65,-0.060824
25,63,-0.091369
25,64,-0.141328
25,65,-0.134321
25,66,-0.078442
26,63,-0.123980
26,64,-0.191771
26,65,-0.182263
26,66,-0.106439
27,63,-0.103370
27,64,-0.159890
27,65,-0.151963
27,66,-0.088744
28,63,-0.052957
28,64,-0.081912
28,65,-0.077851
29,99,-0.086635
30,98,-0.055626
30,99,-0.163236
31,99,-0.118842
43,49,-0.200000
50,39,-0.081498
50,40,-0.101681
51,39,-0.153016
51,40,-0.190909
51,41,-0.093025
52,39,-0.112202
52,40,-0.139988
52,41,-0.068212
63,95,-0.200000
64,34,-0.051343
64,35,-0.066194
65,34,-0.124379
65,35,-0.160357
65,36,-0.104302
65,58,-0.200000
66,12,-0.068372
66,13,-0.072127
66,14,-0.050402
66,33,-0.059485
66,34,-0.152013
66,35,-0.195984
66,36,-0.127475
67,11,-0.086270
67,12,-0.137393
67,13,-0.144940
67,14,-0.101282
67,34,-0.093730
67,35,-0.120841
67,36,-0.078600
68,11,-0.114832
68,12,-0.182882
68,13,-0.192928
68,14,-0.134815
68,15,-0.062402
69,11,-0.101249
69,12,-0.161249
69,13,-0.170107
69,14,-0.118868
69,15,-0.055021
70,11,-0.059134
70,12,-0.094176
70,13,-0.099349
70,14,-0.069424
75,4,-0.072134
75,5,-0.095054
75,6,-0.077659
76,3,-0.062058
76,4,-0.131897
76,5,-0.173807
76,6,-0.142000
76,7,-0.071929
77,3,-0.070353
77,4,-0.149528
77,5,-0.197040
77,6,-0.160981
77,7,-0.081543
78,4,-0.105100
78,5,-0.138494
78,6,-0.113150
78,7,-0.057315
79,5,-0.060353
91,91,-0.077881
91,92,-0.124873
91,93,-0.109688
91,94,-0.052784
92,91,-0.119999
92,92,-0.192406
92,93,-0.169008
92,94,-0.081330
93,91,-0.101293
93,92,-0.162412
93,93,-0.142662
93,94,-0.068651
94,66,-0.200000
94,92,-0.075105
94,93,-0.065972
96,40,-0.200000
