row,col,intensity
6,96,-0.057386
7,95,-0.085679
7,96,-0.160225
7,97,-0.125443
8,95,-0.100153
8,96,-0.187292
8,97,-0.146634
9,96,-0.091658
9,97,-0.071761
14,6,-0.064700
14,7,-0.068807
14,83,-0.070472
14,84,-0.089792
14,85,-0.056943
15,5,-0.062603
15,6,-0.154482
15,7,-0.164289
15,8,-0.075298
15,82,-0.055593
15,83,-0.142321
15,84,-0.181340
15,85,-0.114999
16,5,-0.064419
16,6,-0.158964
16,7,-0.169055
16,8,-0.077482
16,82,-0.055879
16,83,-0.143054
16,84,-0.182274
16,85,-0.115591
17,6,-0.070496
17,7,-0.074971
17,83,-0.071566
17,84,-0.091186
17,85,-0.057827
27,31,-0.200000
37,32,-0.200000
44,49,-0.200000
52,56,-0.200000
58,16,-0.057429
58,44,-0.073658
58,45,-0.055824
59,14,-0.056846
59,15,-0.105145
59,16,-0.128824
59,17,-0.104549
59,18,-0.056204
59,43,-0.092134
59,44,-0.178789
59,45,-0.135500
60,14,-0.084467
60,15,-0.156234
60,16,-0.191417
60,17,-0.155348
60,18,-0.083512
60,43,-0.087341
60,44,-0.169488
60,45,-0.128451
61,14,-0.083136
61,15,-0.153772
61,16,-0.188401
61,17,-0.152901
61,18,-0.082196
61,19,-0.055124
61,44,-0.062750
62,14,-0.054202
62,15,-0.100254
62,16,-0.122830
62,17,-0.099685
62,18,-0.096957
62,19,-0.108236
62,20,-0.095877
62,87,-0.200000
63,16,-0.053045
63,17,-0.064426
63,18,-0.113911
63,19,-0.187535
63,20,-0.166121
63,21,-0.071345
64,13,-0.200000
64,18,-0.086228
64,19,-0.157541
64,20,-0.139552
64,21,-0.059934
64,59,-0.108414
64,60,-0.137001
64,61,-0.087343
64,67,-0.200000
65,19,-0.064165
65,20,-0.056839
65,58,-0.062615
65,59,-0.156838
65,60,-0.198194
65,61,-0.126355
66,59,-0.114467
66,60,-0.144651
66,61,-0.092220
66,97,-0.051363
66,98,-0.069370
67,60,-0.053262
67,97,-0.123049
67,98,-0.166188
67,99,-0.109158
68,96,-0.051625
68,97,-0.143365
68,98,-0.193626
68,99,-0.127181
69,97,-0.081235
69,98,-0.109714
69,99,-0.072064
77,68,-0.200000
78,13,-0.073210
78,14,-0.081330
78,15,-0.056017
79,12,-0.080552
79,13,-0.144333
79,14,-0.160341
79,15,-0.110437
80,12,-0.098460
80,13,-0.176420
80,14,-0.195987
80,15,-0.134989
80,16,-0.057645
81,12,-0.074617
81,13,-0.133698
81,14,-0.148526
81,15,-0.102299
82,13,-0.062819
82,14,-0.069786
91,62,-0.200000
92,22,-0.200000
93,68,-0.200000
