row,col,intensity
9,89,-0.065955
9,90,-0.058532
10,88,-0.088643
10,89,-0.158059
10,90,-0.140272
10,91,-0.061958
11,88,-0.105729
11,89,-0.188525
11,90,-0.167309
11,91,-0.073900
12,88,-0.062765
12,89,-0.111917
12,90,-0.099322
14,6,-0.060492
15,5,-0.095335
15,6,-0.163305
15,7,-0.120557
16,5,-0.110916
16,6,-0.189995
16,7,-0.140261
17,5,-0.055614
17,6,-0.095264
17,7,-0.070327
28,32,-0.200000
36,37,-0.200000
38,49,-0.200000
51,49,-0.200000
57,18,-0.060754
57,19,-0.074244
57,20,-0.060099
57,44,-0.051737
57,90,-0.200000
58,17,-0.066153
58,18,-0.122045
58,19,-0.149144
58,20,-0.120729
58,21,-0.064734
58,43,-0.075128
58,44,-0.155909
58,45,-0.126364
59,17,-0.088026
59,18,-0.162397
59,19,-0.198456
59,20,-0.165195
59,21,-0.123398
59,22,-0.106686
59,23,-0.059784
59,43,-0.088420
59,44,-0.183495
59,45,-0.148723
60,17,-0.077587
60,18,-0.143138
60,19,-0.174921
60,20,-0.155375
60,21,-0.158803
60,22,-0.185615
60,23,-0.122034
60,44,-0.084345
60,45,-0.068361
61,18,-0.083570
61,19,-0.102127
61,20,-0.110067
61,21,-0.147239
61,22,-0.181481
61,23,-0.120775
61,56,-0.073773
61,57,-0.101236
61,58,-0.070086
62,20,-0.050798
62,21,-0.063442
62,22,-0.087082
62,23,-0.057953
62,55,-0.050560
62,56,-0.137524
62,57,-0.188717
62,58,-0.130651
63,56,-0.129336
63,57,-0.177483
63,58,-0.122873
64,56,-0.061366
64,57,-0.084210
64,58,-0.058299
65,6,-0.200000
65,64,-0.200000
78,14,-0.066375
78,15,-0.079300
78,16,-0.058741
78,59,-0.200000
79,13,-0.069324
79,14,-0.133587
79,15,-0.159602
79,16,-0.118224
79,17,-0.054295
80,13,-0.086504
80,14,-0.166694
80,15,-0.199156
80,16,-0.147523
80,17,-0.067751
81,13,-0.066924
81,14,-0.128963
81,15,-0.154078
81,16,-0.114132
81,17,-0.052416
82,14,-0.061859
82,15,-0.073906
82,16,-0.054745
86,61,-0.200000
94,20,-0.200000
94,68,-0.200000
