row,col,intensity
9,35,-0.200000
14,10,-0.076834
14,11,-0.076679
14,98,-0.060787
14,99,-0.088004
15,9,-0.072170
15,10,-0.167123
15,11,-0.166786
15,12,-0.071735
15,98,-0.121278
15,99,-0.175579
16,9,-0.067653
16,10,-0.156663
16,11,-0.156347
16,12,-0.067245
16,97,-0.050161
16,98,-0.132558
16,99,-0.191909
17,10,-0.063291
17,11,-0.063163
17,98,-0.079374
17,99,-0.114913
23,17,-0.200000
24,1,-0.060557
25,0,-0.107488
25,1,-0.169931
25,2,-0.103804
26,0,-0.116548
26,1,-0.184253
26,2,-0.112553
27,1,-0.077195
34,41,-0.200000
39,89,-0.069550
39,90,-0.105736
39,91,-0.067312
40,60,-0.200000
40,89,-0.129035
40,90,-0.196168
40,91,-0.124882
41,89,-0.100246
41,90,-0.152400
41,91,-0.097019
49,99,-0.200000
58,24,-0.060916
58,25,-0.103189
58,26,-0.115785
58,27,-0.086058
59,24,-0.096389
59,25,-0.163279
59,26,-0.183211
59,27,-0.136173
59,28,-0.067042
60,24,-0.101029
60,25,-0.171139
60,26,-0.192030
60,27,-0.142728
60,28,-0.070270
61,24,-0.070143
61,25,-0.118819
61,26,-0.133323
61,27,-0.099094
62,25,-0.054644
62,26,-0.061314
62,92,-0.200000
63,59,-0.051263
63,60,-0.059338
64,58,-0.056764
64,59,-0.130238
64,60,-0.150753
64,61,-0.088036
65,38,-0.080477
65,39,-0.129310
65,40,-0.081147
65,58,-0.200000
65,59,-0.166930
65,60,-0.193225
65,61,-0.112838
66,38,-0.124391
66,39,-0.199871
66,40,-0.125426
66,59,-0.107944
66,60,-0.124947
66,61,-0.072966
67,38,-0.075090
67,39,-0.120655
67,40,-0.075715
76,1,-0.064125
76,2,-0.058353
77,0,-0.096627
77,1,-0.141821
77,2,-0.129056
77,3,-0.072812
78,0,-0.132496
78,1,-0.194468
78,2,-0.176964
78,3,-0.099842
79,0,-0.112643
79,1,-0.165328
79,2,-0.150447
79,3,-0.084881
80,0,-0.059373
80,1,-0.087144
80,2,-0.079300
83,63,-0.200000
91,67,-0.200000
92,99,-0.200000
94,47,-0.071736
94,48,-0.064837
95,46,-0.102796
95,47,-0.151207
95,48,-0.136663
95,49,-0.075896
95,51,-0.200000
96,45,-0.055614
96,46,-0.133136
96,47,-0.195834
96,48,-0.176999
96,49,-0.098296
97,46,-0.105949
97,47,-0.155845
97,48,-0.140856
97,49,-0.078224
97,59,-0.200000
98,46,-0.051807
98,47,-0.076205
98,48,-0.068876
