row,col,intensity
3,91,-0.051141
3,92,-0.052240
4,90,-0.059094
4,91,-0.144182
4,92,-0.147279
4,93,-0.062984
5,90,-0.069751
5,91,-0.170183
5,92,-0.173838
5,93,-0.074342
6,91,-0.084097
6,92,-0.085904
13,42,-0.200000
17,56,-0.200000
19,15,-0.107292
19,16,-0.132274
19,17,-0.070280
20,14,-0.055183
20,15,-0.157858
20,16,-0.194614
20,17,-0.103402
21,15,-0.100095
21,16,-0.123402
21,17,-0.065565
24,20,-0.200000
37,22,-0.200000
47,52,-0.200000
55,19,-0.073674
55,20,-0.077007
55,21,-0.053317
55,78,-0.200000
56,18,-0.090867
56,19,-0.143385
56,20,-0.149872
56,21,-0.103766
57,18,-0.117142
57,19,-0.184847
57,20,-0.193210
57,21,-0.133771
57,22,-0.061350
58,18,-0.100033
58,19,-0.157848
58,20,-0.164989
58,21,-0.114233
58,22,-0.052390
59,18,-0.056583
59,19,-0.089286
59,20,-0.093326
59,21,-0.064616
64,26,-0.059379
64,27,-0.133676
64,28,-0.117531
65,26,-0.082642
65,27,-0.186045
65,28,-0.163575
65,29,-0.056169
66,27,-0.101125
66,28,-0.088912
66,52,-0.200000
73,36,-0.079938
73,37,-0.134540
73,38,-0.114239
74,36,-0.116018
74,37,-0.195264
74,38,-0.165800
74,39,-0.071025
74,57,-0.200000
75,36,-0.084949
75,37,-0.142974
75,38,-0.121400
75,39,-0.052005
76,37,-0.052815
77,11,-0.064828
77,12,-0.095123
77,13,-0.086536
78,11,-0.117116
78,12,-0.171846
78,13,-0.156334
78,14,-0.088178
79,10,-0.055429
79,11,-0.131179
79,12,-0.192481
79,13,-0.175106
79,14,-0.098766
80,11,-0.091097
80,12,-0.133668
80,13,-0.121602
80,14,-0.068588
81,12,-0.057552
81,13,-0.052357
82,54,-0.200000
89,67,-0.200000
91,61,-0.200000
92,22,-0.200000
93,64,-0.200000
