row,col,intensity
11,37,-0.200000
19,40,-0.200000
26,14,-0.055399
26,15,-0.077941
27,14,-0.127832
27,15,-0.179848
27,16,-0.109048
28,14,-0.127123
28,15,-0.178851
28,16,-0.108443
29,14,-0.054482
29,15,-0.076652
29,62,-0.200000
51,26,-0.057059
51,27,-0.127547
51,28,-0.111352
51,81,-0.200000
51,88,-0.200000
52,26,-0.083997
52,27,-0.187764
52,28,-0.163922
52,29,-0.055891
53,27,-0.107953
53,28,-0.094245
61,57,-0.051677
61,58,-0.057583
62,56,-0.060021
62,57,-0.132565
62,58,-0.147714
62,59,-0.083039
63,56,-0.077678
63,57,-0.171563
63,58,-0.191169
63,59,-0.107467
64,25,-0.079511
64,26,-0.090220
64,27,-0.067810
64,56,-0.050717
64,57,-0.112017
64,58,-0.124818
64,59,-0.070168
65,24,-0.084572
65,25,-0.144870
65,26,-0.164381
65,27,-0.123550
65,28,-0.061511
66,24,-0.102069
66,25,-0.174843
66,26,-0.198391
66,27,-0.149112
66,28,-0.074237
67,24,-0.081599
67,25,-0.139777
67,26,-0.158602
67,27,-0.119206
67,28,-0.059348
68,25,-0.074019
68,26,-0.083988
68,27,-0.063126
78,3,-0.060576
78,4,-0.088205
78,5,-0.079630
79,3,-0.114315
79,4,-0.166453
79,5,-0.150270
79,6,-0.084110
80,2,-0.056950
80,3,-0.133749
80,4,-0.194752
80,5,-0.175818
80,6,-0.098409
81,3,-0.097023
81,4,-0.141274
81,5,-0.127539
81,6,-0.071387
82,4,-0.063538
82,5,-0.057361
83,67,-0.200000
84,64,-0.200000
88,38,-0.200000
89,11,-0.200000
89,29,-0.200000
98,48,-0.112771
98,49,-0.121852
98,50,-0.058108
99,47,-0.070672
99,48,-0.173029
99,49,-0.186962
99,50,-0.089157
