row,col,intensity
18,70,-0.056567
19,68,-0.050273
19,69,-0.108216
19,70,-0.137666
19,71,-0.103498
20,68,-0.072305
20,69,-0.155642
20,70,-0.197998
20,71,-0.148856
20,72,-0.066137
21,68,-0.061458
21,69,-0.132293
21,70,-0.168294
21,71,-0.126524
21,72,-0.056215
22,69,-0.066454
22,70,-0.084538
22,71,-0.063556
26,2,-0.090597
26,3,-0.086069
26,63,-0.200000
27,1,-0.080557
27,2,-0.177579
27,3,-0.168703
27,4,-0.069072
28,1,-0.068050
28,2,-0.150008
28,3,-0.142510
28,4,-0.058348
29,2,-0.054611
29,3,-0.051882
30,22,-0.200000
32,43,-0.200000
39,66,-0.200000
40,21,-0.072220
40,22,-0.061129
41,20,-0.087508
41,21,-0.171170
41,22,-0.144883
41,23,-0.053066
42,20,-0.089749
42,21,-0.175552
42,22,-0.148592
42,23,-0.054425
43,21,-0.077911
43,22,-0.065946
54,79,-0.200000
59,51,-0.081954
59,52,-0.100130
59,53,-0.061720
60,50,-0.062939
60,51,-0.152423
60,52,-0.186229
60,53,-0.114791
61,50,-0.059057
61,51,-0.143021
61,52,-0.174741
61,53,-0.107710
62,8,-0.064133
62,9,-0.077777
62,42,-0.099656
62,43,-0.123420
62,44,-0.059696
62,51,-0.067704
62,52,-0.082720
62,53,-0.050988
63,7,-0.059836
63,8,-0.139326
63,9,-0.168966
63,10,-0.106725
63,42,-0.155908
63,43,-0.193085
63,44,-0.093392
64,7,-0.067704
64,8,-0.157646
64,9,-0.191183
64,10,-0.120758
64,42,-0.095260
64,43,-0.117976
64,44,-0.057063
65,8,-0.092904
65,9,-0.112668
65,10,-0.071165
67,53,-0.200000
69,24,-0.050925
69,25,-0.092005
69,26,-0.110105
69,27,-0.087282
70,24,-0.083523
70,25,-0.150899
70,26,-0.180586
70,27,-0.143154
70,28,-0.075169
71,24,-0.090740
71,25,-0.163938
71,26,-0.196191
71,27,-0.155524
71,28,-0.081664
72,24,-0.065300
72,25,-0.117976
72,26,-0.141187
72,27,-0.111921
72,28,-0.058769
73,21,-0.069596
73,22,-0.091868
73,23,-0.076773
73,24,-0.065424
73,25,-0.056238
73,26,-0.067302
73,27,-0.053351
74,20,-0.061639
74,21,-0.128520
74,22,-0.169648
74,23,-0.141774
74,24,-0.075008
75,20,-0.072062
75,21,-0.150252
75,22,-0.198335
75,23,-0.165747
75,24,-0.087692
76,20,-0.053336
76,21,-0.111208
76,22,-0.146797
76,23,-0.122677
76,24,-0.064904
77,21,-0.052109
77,22,-0.068785
77,23,-0.057483
77,59,-0.200000
79,8,-0.064110
79,9,-0.075904
79,10,-0.055718
80,7,-0.069031
80,8,-0.131824
80,9,-0.156074
80,10,-0.114567
80,11,-0.052141
81,7,-0.088004
81,8,-0.168054
81,9,-0.198970
81,10,-0.146055
81,11,-0.066472
82,7,-0.069559
82,8,-0.132830
82,9,-0.157266
82,10,-0.115442
82,11,-0.052540
83,8,-0.065093
83,9,-0.077068
83,10,-0.056572
85,75,-0.070890
85,76,-0.066179
86,61,-0.200000
86,74,-0.094893
86,75,-0.153590
86,76,-0.143383
86,77,-0.077204
87,74,-0.118581
87,75,-0.191930
87,76,-0.179175
87,77,-0.096476
88,74,-0.085467
88,75,-0.138334
88,76,-0.129141
88,77,-0.069535
89,75,-0.057507
89,76,-0.053685
