row,col,intensity
20,1,-0.069057
20,2,-0.056362
21,0,-0.089623
21,1,-0.169729
21,2,-0.138527
22,0,-0.094932
22,1,-0.179783
22,2,-0.146733
22,3,-0.051612
23,1,-0.082071
23,2,-0.066984
32,37,-0.200000
35,26,-0.200000
39,70,-0.200000
49,34,-0.123391
49,35,-0.147709
49,36,-0.069057
50,33,-0.050505
50,34,-0.154804
50,35,-0.185314
50,36,-0.086639
51,34,-0.075851
51,35,-0.090801
51,83,-0.200000
60,53,-0.061213
60,54,-0.116556
60,55,-0.111967
60,56,-0.054263
61,53,-0.097229
61,54,-0.185132
61,55,-0.177843
61,56,-0.086189
62,53,-0.077912
62,54,-0.148352
62,55,-0.142511
62,56,-0.069066
63,54,-0.059975
63,55,-0.057613
63,80,-0.200000
70,21,-0.068214
70,22,-0.076927
70,23,-0.057465
70,68,-0.200000
71,20,-0.078856
71,21,-0.134253
71,22,-0.151402
71,23,-0.113098
71,24,-0.055963
72,20,-0.102804
72,21,-0.175024
72,22,-0.197380
72,23,-0.147445
72,24,-0.072958
73,20,-0.088777
73,21,-0.151143
73,22,-0.170449
73,23,-0.127327
73,24,-0.063003
74,20,-0.050782
74,21,-0.086457
74,22,-0.097500
74,23,-0.072833
79,0,-0.102433
79,1,-0.094857
79,2,-0.054462
80,0,-0.176513
80,1,-0.163459
80,2,-0.093850
81,0,-0.188585
81,1,-0.174638
81,2,-0.100268
82,0,-0.124919
82,1,-0.115681
82,2,-0.066418
83,0,-0.051303
84,42,-0.200000
91,39,-0.200000
92,29,-0.200000
95,49,-0.200000
