row,col,intensity
9,42,-0.200000
20,16,-0.050582
21,15,-0.079284
21,16,-0.149718
21,17,-0.121845
22,15,-0.101138
22,16,-0.190986
22,17,-0.155430
22,18,-0.054515
23,15,-0.055601
23,16,-0.104996
23,17,-0.085449
30,21,-0.200000
34,60,-0.200000
50,80,-0.076865
50,81,-0.095292
50,82,-0.078905
51,79,-0.073351
51,80,-0.136146
51,81,-0.168783
51,82,-0.139758
51,83,-0.077295
52,79,-0.086777
52,80,-0.161066
52,81,-0.199676
52,82,-0.165339
52,83,-0.091443
53,79,-0.068569
53,80,-0.127270
53,81,-0.157779
53,82,-0.130647
53,83,-0.072256
54,43,-0.105882
54,44,-0.105848
54,79,-0.200000
54,80,-0.067170
54,81,-0.083272
54,82,-0.068952
55,42,-0.069400
55,43,-0.177641
55,44,-0.177583
55,45,-0.069333
56,43,-0.116396
56,44,-0.116359
57,99,-0.200000
61,95,-0.200000
70,12,-0.064280
70,13,-0.076771
70,14,-0.060735
71,11,-0.070491
71,12,-0.127099
71,13,-0.151798
71,14,-0.120091
71,15,-0.062932
72,11,-0.092326
72,12,-0.166467
72,13,-0.198817
72,14,-0.157289
72,15,-0.082425
73,11,-0.080099
73,12,-0.144422
73,13,-0.172488
73,14,-0.136459
73,15,-0.071510
73,38,-0.072487
73,39,-0.059930
74,12,-0.082996
74,13,-0.099125
74,14,-0.078420
74,37,-0.101087
74,38,-0.165661
74,39,-0.136965
74,40,-0.057130
75,37,-0.116553
75,38,-0.191007
75,39,-0.157920
75,40,-0.065871
76,37,-0.067798
76,38,-0.111107
76,39,-0.091861
80,15,-0.062864
80,16,-0.092260
80,17,-0.083949
81,15,-0.115559
81,16,-0.169595
81,17,-0.154318
81,18,-0.087058
82,14,-0.055639
82,15,-0.131703
82,16,-0.193289
82,17,-0.175877
82,18,-0.099221
83,15,-0.093064
83,16,-0.136581
83,17,-0.124278
83,18,-0.070111
84,16,-0.059837
84,17,-0.054446
84,52,-0.200000
84,66,-0.200000
98,43,-0.200000
