row,col,intensity
11,36,-0.200000
13,25,-0.200000
18,48,-0.200000
20,15,-0.056324
20,16,-0.098435
20,17,-0.074140
21,15,-0.109292
21,16,-0.191005
21,17,-0.143862
22,15,-0.091397
22,16,-0.159730
22,17,-0.120306
23,16,-0.057567
46,52,-0.200000
52,79,-0.200000
56,10,-0.200000
57,25,-0.081046
57,26,-0.090252
57,27,-0.066573
58,24,-0.087640
58,25,-0.147334
58,26,-0.164069
58,27,-0.121022
58,28,-0.059132
59,24,-0.105533
59,25,-0.177416
59,26,-0.197567
59,27,-0.145732
59,28,-0.071206
60,24,-0.084178
60,25,-0.141515
60,26,-0.157588
60,27,-0.116242
60,28,-0.056796
61,25,-0.088114
61,26,-0.096793
61,27,-0.061417
62,25,-0.109643
62,26,-0.118387
62,27,-0.061105
63,24,-0.060695
63,25,-0.169043
63,26,-0.183875
63,27,-0.078114
63,35,-0.051958
64,25,-0.116202
64,26,-0.126398
64,27,-0.053697
64,34,-0.075099
64,35,-0.139475
64,36,-0.130684
64,37,-0.061775
65,34,-0.101704
65,35,-0.188886
65,36,-0.176982
65,37,-0.083660
66,34,-0.069488
66,35,-0.129054
66,36,-0.120920
66,37,-0.057160
74,64,-0.200000
76,39,-0.200000
77,14,-0.053126
77,15,-0.096601
77,16,-0.108905
77,17,-0.076121
78,14,-0.088820
78,15,-0.161505
78,16,-0.182075
78,17,-0.127264
78,18,-0.055151
79,14,-0.092067
79,15,-0.167409
79,16,-0.188731
79,17,-0.131916
79,18,-0.057167
80,14,-0.059168
80,15,-0.107588
80,16,-0.121291
80,17,-0.084778
83,74,-0.200000
88,68,-0.200000
89,30,-0.200000
92,62,-0.200000
96,58,-0.200000
