row,col,intensity
1,58,-0.200000
2,74,-0.200000
11,12,-0.050185
11,13,-0.067389
11,14,-0.054815
12,11,-0.050019
12,12,-0.110883
12,13,-0.148895
12,14,-0.121113
12,15,-0.059675
13,11,-0.066946
13,12,-0.148405
13,13,-0.199280
13,14,-0.162096
13,15,-0.079868
14,11,-0.054275
14,12,-0.120316
14,13,-0.161562
14,14,-0.131416
14,15,-0.064751
15,12,-0.059087
15,13,-0.079343
15,14,-0.064538
16,69,-0.062544
16,70,-0.050113
17,45,-0.200000
17,67,-0.051331
17,68,-0.108937
17,69,-0.142055
17,70,-0.113822
17,71,-0.056038
18,67,-0.071637
18,68,-0.152032
18,69,-0.198253
18,70,-0.158851
18,71,-0.078207
19,1,-0.074250
19,2,-0.077527
19,67,-0.061431
19,68,-0.130372
19,69,-0.170007
19,70,-0.136219
19,71,-0.067065
20,0,-0.067153
20,1,-0.162695
20,2,-0.169875
20,3,-0.076442
20,68,-0.068694
20,69,-0.089578
20,70,-0.071775
21,0,-0.063414
21,1,-0.153637
21,2,-0.160418
21,3,-0.072186
21,45,-0.200000
22,1,-0.062527
22,2,-0.065286
26,10,-0.200000
35,51,-0.200000
49,38,-0.052320
49,39,-0.055004
50,37,-0.054456
50,38,-0.146585
50,39,-0.154103
50,40,-0.063272
51,37,-0.059586
51,38,-0.160394
51,39,-0.168620
51,40,-0.069233
52,38,-0.068544
52,39,-0.072059
55,94,-0.200000
64,9,-0.064927
64,10,-0.095220
64,11,-0.092501
64,12,-0.059523
65,8,-0.051117
65,9,-0.113173
65,10,-0.165976
65,11,-0.161236
65,12,-0.103753
66,8,-0.059020
66,9,-0.130671
66,10,-0.191637
66,11,-0.186165
66,12,-0.119794
66,13,-0.051061
66,96,-0.200000
67,9,-0.099939
67,10,-0.146566
67,11,-0.142381
67,12,-0.091620
68,9,-0.050630
68,10,-0.074251
68,11,-0.072131
68,66,-0.200000
69,34,-0.078536
69,35,-0.080100
70,33,-0.080568
70,34,-0.162878
70,35,-0.166121
70,36,-0.085477
71,33,-0.084299
71,34,-0.170420
71,35,-0.173813
71,36,-0.089436
72,34,-0.089959
72,35,-0.091750
75,2,-0.089272
75,3,-0.101757
75,4,-0.071912
76,1,-0.084793
76,2,-0.155888
76,3,-0.177689
76,4,-0.125573
76,5,-0.055021
77,1,-0.091801
77,2,-0.168772
77,3,-0.192375
77,4,-0.135952
77,5,-0.059568
78,1,-0.061621
78,2,-0.113287
78,3,-0.129130
78,4,-0.091257
79,3,-0.053740
94,67,-0.075296
94,68,-0.200000
94,69,-0.058217
95,67,-0.140701
95,68,-0.195079
95,69,-0.108788
96,67,-0.105750
96,68,-0.146620
96,69,-0.081764
96,91,-0.074209
96,92,-0.060847
97,90,-0.108886
97,91,-0.162967
97,92,-0.133623
97,93,-0.060022
98,90,-0.130998
98,91,-0.196062
98,92,-0.160758
98,93,-0.072211
99,90,-0.086339
99,91,-0.129222
99,92,-0.105954
